match_id,date,home_team,away_team,opponent,home_team_score,away_team_score,result,year
portland-thorns-fc-vs-houston-dash-2021-10-06,2021-10-06,POR,HOU,HOU,2,3,loss,2021
kansas-city-current-vs-portland-thorns-fc-2021-10-10,2021-10-10,KCC,POR,KCC,0,0,tie,2021
portland-thorns-fc-vs-ol-reign-2021-10-13,2021-10-13,POR,RGN,RGN,1,1,tie,2021
houston-dash-vs-portland-thorns-fc-2021-10-17,2021-10-17,HOU,POR,HOU,0,1,win,2021
portland-thorns-fc-vs-north-carolina-courage-2021-10-30,2021-10-30,POR,NC,NC,0,0,tie,2021
portland-thorns-fc-vs-chicago-red-stars-2021-11-14,2021-11-14,POR,CHI,CHI,0,2,loss,2021
ol-reign-vs-portland-thorns-fc-2022-03-18,2022-03-18,RGN,POR,RGN,1,1,tie,2022
san-diego-wave-fc-vs-portland-thorns-fc-2022-03-26,2022-03-26,SD,POR,SD,0,1,win,2022
portland-thorns-fc-vs-angel-city-fc-2022-03-30,2022-03-30,POR,LA,LA,3,0,win,2022
portland-thorns-fc-vs-ol-reign-2022-04-02,2022-04-02,POR,RGN,RGN,0,1,loss,2022
portland-thorns-fc-vs-san-diego-wave-fc-2022-04-17,2022-04-17,POR,SD,SD,3,2,win,2022
angel-city-fc-vs-portland-thorns-fc-2022-04-24,2022-04-24,LA,POR,LA,1,0,loss,2022
portland-thorns-fc-vs-kansas-city-current-2022-04-30,2022-04-30,POR,KCC,KCC,3,0,win,2022
portland-thorns-fc-vs-ol-reign-2022-05-13,2022-05-13,POR,RGN,RGN,0,0,tie,2022
portland-thorns-fc-vs-washington-spirit-2022-05-18,2022-05-18,POR,WAS,WAS,1,1,tie,2022
portland-thorns-fc-vs-houston-dash-2022-05-21,2022-05-21,POR,HOU,HOU,0,2,loss,2022
chicago-red-stars-vs-portland-thorns-fc-2022-05-28,2022-05-28,CHI,POR,CHI,2,2,tie,2022
portland-thorns-fc-vs-angel-city-fc-2022-06-03,2022-06-03,POR,LA,LA,3,0,win,2022
san-diego-wave-fc-vs-portland-thorns-fc-2022-06-08,2022-06-08,SD,POR,SD,2,2,tie,2022
houston-dash-vs-portland-thorns-fc-2022-06-12,2022-06-12,HOU,POR,HOU,0,4,win,2022
portland-thorns-fc-vs-orlando-pride-2022-06-19,2022-06-19,POR,ORL,ORL,6,0,win,2022
angel-city-fc-vs-portland-thorns-fc-2022-07-01,2022-07-01,LA,POR,LA,1,1,tie,2022
ol-reign-vs-portland-thorns-fc-2022-07-10,2022-07-10,RGN,POR,RGN,2,2,tie,2022
portland-thorns-fc-vs-nj-ny-gotham-fc-2022-07-16,2022-07-16,POR,NJY,NJY,5,0,win,2022
racing-louisville-fc-vs-portland-thorns-fc-2022-07-29,2022-07-29,LOU,POR,LOU,1,2,win,2022
portland-thorns-fc-vs-north-carolina-courage-2022-08-05,2022-08-05,POR,NC,NC,3,3,tie,2022
washington-spirit-vs-portland-thorns-fc-2022-08-10,2022-08-10,WAS,POR,WAS,1,2,win,2022
north-carolina-courage-vs-portland-thorns-fc-2022-08-24,2022-08-24,NC,POR,NC,3,1,loss,2022
portland-thorns-fc-vs-san-diego-wave-fc-2022-08-27,2022-08-27,POR,SD,SD,0,2,loss,2022
orlando-pride-vs-portland-thorns-fc-2022-09-09,2022-09-09,ORL,POR,ORL,0,2,win,2022
kansas-city-current-vs-portland-thorns-fc-2022-09-18,2022-09-18,KCC,POR,KCC,1,1,tie,2022
portland-thorns-fc-vs-racing-louisville-fc-2022-09-21,2022-09-21,POR,LOU,LOU,3,0,win,2022
portland-thorns-fc-vs-chicago-red-stars-2022-09-25,2022-09-25,POR,CHI,CHI,3,0,win,2022
nj-ny-gotham-fc-vs-portland-thorns-fc-2022-10-01,2022-10-01,NJY,POR,NJY,3,3,tie,2022
portland-thorns-fc-vs-san-diego-wave-fc-2022-10-23,2022-10-23,POR,SD,SD,2,1,win,2022
portland-thorns-fc-vs-kansas-city-current-2022-10-29,2022-10-29,POR,KCC,KCC,2,0,win,2022
portland-thorns-fc-vs-orlando-pride-2023-03-26,2023-03-26,POR,ORL,ORL,4,0,win,2023
kansas-city-current-vs-portland-thorns-fc-2023-04-01,2023-04-01,KCC,POR,KCC,1,4,win,2023
portland-thorns-fc-vs-houston-dash-2023-04-14,2023-04-14,POR,HOU,HOU,1,1,tie,2023
portland-thorns-fc-vs-racing-louisville-fc-2023-04-22,2023-04-22,POR,LOU,LOU,2,0,win,2023
portland-thorns-fc-vs-angel-city-fc-2023-04-29,2023-04-29,POR,LA,LA,3,3,tie,2023
north-carolina-courage-vs-portland-thorns-fc-2023-05-06,2023-05-06,NC,POR,NC,3,3,tie,2023
houston-dash-vs-portland-thorns-fc-2023-05-12,2023-05-12,HOU,POR,HOU,2,1,loss,2023
portland-thorns-fc-vs-chicago-red-stars-2023-05-21,2023-05-21,POR,CHI,CHI,4,0,win,2023
san-diego-wave-fc-vs-portland-thorns-fc-2023-05-26,2023-05-26,SD,POR,SD,1,1,tie,2023
seattle-reign-vs-portland-thorns-fc-2023-06-03,2023-06-03,RGN,POR,RGN,0,2,win,2023
orlando-pride-vs-portland-thorns-fc-2023-06-11,2023-06-11,ORL,POR,ORL,3,1,loss,2023
chicago-red-stars-vs-portland-thorns-fc-2023-06-18,2023-06-18,CHI,POR,CHI,2,3,win,2023
portland-thorns-fc-vs-washington-spirit-2023-06-23,2023-06-23,POR,WAS,WAS,4,2,win,2023
portland-thorns-fc-vs-kansas-city-current-2023-07-01,2023-07-01,POR,KCC,KCC,0,1,loss,2023
nj-ny-gotham-fc-vs-portland-thorns-fc-2023-07-09,2023-07-09,NJY,POR,NJY,2,1,loss,2023
portland-thorns-fc-vs-north-carolina-courage-2023-08-20,2023-08-20,POR,NC,NC,2,1,win,2023
washington-spirit-vs-portland-thorns-fc-2023-08-27,2023-08-27,WAS,POR,WAS,1,1,tie,2023
racing-louisville-fc-vs-portland-thorns-fc-2023-09-02,2023-09-02,LOU,POR,LOU,2,1,loss,2023
portland-thorns-fc-vs-seattle-reign-2023-09-16,2023-09-16,POR,RGN,RGN,2,0,win,2023
portland-thorns-fc-vs-san-diego-wave-fc-2023-09-30,2023-09-30,POR,SD,SD,0,2,loss,2023
portland-thorns-fc-vs-nj-ny-gotham-fc-2023-10-07,2023-10-07,POR,NJY,NJY,1,0,win,2023
angel-city-fc-vs-portland-thorns-fc-2023-10-15,2023-10-15,LA,POR,LA,5,1,loss,2023
portland-thorns-fc-vs-nj-ny-gotham-fc-2023-11-05,2023-11-05,POR,NJY,NJY,0,1,loss,2023
san-diego-wave-fc-vs-portland-thorns-fc-2023-04-19,2023-04-19,SD,POR,SD,1,0,loss,2023
portland-thorns-fc-vs-angel-city-fc-2023-05-31,2023-05-31,POR,LA,LA,3,2,win,2023
portland-thorns-fc-vs-seattle-reign-2023-06-28,2023-06-28,POR,RGN,RGN,0,1,loss,2023
portland-thorns-fc-vs-san-diego-wave-fc-2023-07-21,2023-07-21,POR,SD,SD,4,1,win,2023
angel-city-fc-vs-portland-thorns-fc-2023-07-29,2023-07-29,LA,POR,LA,2,1,loss,2023
seattle-reign-vs-portland-thorns-fc-2023-08-06,2023-08-06,RGN,POR,RGN,0,0,tie,2023
